	Avg	Stdev																																								
"KERNEL=9, MODE=1"	24.4	0.9%	24.5071	24.3882	24.2468	24.3701	24.2473	24.0681	24.4412	24.499	24.3359	24.9109	24.5188	24.5408	24.0579	24.2539	24.7729	24.105	24.5571	24.355	24.082	24.5139	24.5188	24.3088	24.678	24.4131	24.365	24.7661	24.4082	24.7041	24.5381	24.1218	24.457	24.1179	24.5581	24.5591	24.5229	24.719	24.2261	24.031	24.3481	24.3601
"KERNEL=9, MODE=2"	9.1	0.4%	9.14185	9.14307	9.12598	9.125	9.11084	9.13403	9.16724	9.14111	9.1228	9.15015	9.11914	9.1582	9.10669	9.10693	9.14185	9.16187	9.05493	9.14111	9.06592	9.14697	9.00977	9.11108	9.07202	9.08008	9.10596	9.07397	9.08667	9.1228	9.10718	9.08813	9.09009	9.146	9.12305	9.1333	9.16211	9.14404	9.09399	9.09399	9.10181	9.10693
"KERNEL=10, MODE=0"	16.3	1.6%	16.05	16.7083	16.6289	15.6948	15.9709	16.854	16.2161	16.4199	16.2629	16.3809	16.249	16.229	16.822	16.1211	16.634	16.0552	15.9968	16.175	16.1819	16.5161	16.5449	16.0608	16.3447	16.6919	16.2639	16.4878	16.8828	16.2173	16.4053	16.3979	16.0862	16.1199	16.1367	16.1638	16.3337	16.1199	16.2729	16.1841	15.9143	16.1899
"KERNEL=10, MODE=1"	16.3	1.1%	16.7749	16.5049	16.408	16.427	16.4331	16.4258	16.3059	16.3931	16.4949	16.406	16.8027	16.2622	16.2751	16.3123	16.3628	16.1741	16.155	16.2039	16.073	16.488	16.072	16.073	16.2991	16.4543	16.1702	16.0261	16.3389	16.5259	16.3782	16.105	16.4131	16.2671	15.9468	16.47	16.3179	16.4341	16.3921	16.488	16.4441	16.4089
"KERNEL=10, MODE=2"	9.0	0.5%	9.09497	9.15894	9.02368	8.99707	9.04297	9.177	9.0752	9.02295	9.03198	9.07812	9.08496	9.12598	9.052	9.07886	9.04199	9.07129	9.1333	9.01782	9.125	9.03613	9.00391	8.9939	9.02515	9.00391	9.00293	9.03296	9.01367	9.02417	9.0332	9.01001	9.07007	9.03418	9.03125	9.03589	9.06714	9.02222	9.00903	9.04712	9.03711	9.03101
"KERNEL=11, MODE=0"	57.0	0.9%	57.1101	56.7859	57.627	57.1111	59.7498	57.1658	57.0271	56.9282	56.9221	57.0537	56.9199	57.5149	57.1748	56.7483	57.0789	57.0518	56.6748	56.7942	56.7458	57.0771	56.8569	56.8188	56.7322	56.854	56.989	56.9092	56.9102	56.7119	56.9299	56.7761	56.834	56.9319	56.7461	56.9961	56.9011	56.8801	56.9119	56.9688	56.8931	56.7
"KERNEL=11, MODE=1"	57.4	4.6%	56.9829	56.894	56.8411	58.5249	56.8062	56.9539	56.939	56.9431	57.0662	56.9561	56.9958	73.5459	56.8489	56.874	57.188	56.9248	56.8069	56.8801	56.7659	56.9438	57.1331	57.2432	57.2078	57.0291	56.8247	56.7329	56.9761	56.855	56.925	56.813	57.0852	56.875	57.0518	57.0779	57.0889	56.8311	56.958	56.7588	56.908	56.8149
"KERNEL=11, MODE=2"	42.1	0.4%	42.1328	42.2061	42.1858	41.511	42.1731	42.137	42.1133	42.2439	41.98	42.239	42.249	42.176	42.188	42.1831	42.2422	42.1831	42.2351	42.2561	42.2278	42.2168	42.1719	42.166	41.3191	42.1321	42.1321	42.1873	42.1809	42.1692	42.186	42.188	42.167	42.1311	42.1533	42.1221	42.2031	42.1699	42.1929	42.155	42.1433	42.1909
"KERNEL=12, MODE=0"	105.9	3.1%	109.448	110.248	104.841	106.573	112.841	110.515	102.693	108.19	103.374	103.128	101.937	111.128	103.224	104.511	107.264	112.582	103.343	112.369	105.848	110.173	106.353	102.347	108.965	101.772	104.981	105.07	104.571	104.03	103.635	103.044	105.904	101.793	107.798	102.344	103.236	103.905	104.315	104.963	104.584	108.352
"KERNEL=12, MODE=1"	105.8	2.4%	103.372	103.322	106.969	108.459	105.345	109.275	105.523	109.637	103.662	106.814	104.199	102.649	112.114	104.736	104.758	105.332	106.064	106.897	108.847	110.169	105.325	107.738	104.987	104.07	107.626	102.553	104.579	106.186	106.371	108.011	108.581	102.556	103.866	103.182	102.975	103.648	102.031	109.012	106.33	102.385
"KERNEL=12, MODE=2"	123.8	3.5%	123.258	123.284	150.746	123.116	123.142	123.033	123.064	123.111	123.131	123.081	123.137	123.092	123.1	123.082	124.741	123.201	123.083	123.157	123.492	123.076	123.087	123.126	123.082	123.088	123.101	123.057	123.216	123.088	123.125	123.113	123.096	123.098	123.003	123.092	123.144	123.065	123.073	123.096	123.065	123.049
